,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,alpha0,beta0,Sdown
69,15315094.572150718,5675348.815168466,295.0,176959.0,599.8610169491525,4151714.533226085,302.3676393788207,0.0014996525423728812,0.001463111267160912,,0.09022759348741691,8107.892555978216,294.9762787030963
70,11991048.2928797,4410343.641648027,293.0,177230.0,604.8805460750854,4158837.900406528,300.3393560465333,0.0015122013651877133,0.0014752478856995082,,0.09129155181819641,8079.8707893442715,292.9763082961
71,7882432.131652541,2792652.0070133265,299.0,178128.0,595.7458193979933,4129317.554121319,306.67370774879197,0.0014893645484949831,0.0014520970945601191,,0.08907768881194182,8150.734004929918,298.97518539938056
72,13618478.487349788,5023795.147868022,297.0,176576.0,594.5319865319865,4064559.9728825856,304.44510526461414,0.0014863299663299661,0.0014499822541614328,,0.09056785487705206,8004.949748063577,296.9759403842532
73,9580384.088096771,3474953.1337086065,297.0,176557.0,594.4680134680135,4042195.413960028,304.5177856027008,0.0014861700336700338,0.001449480197441989,,0.09111622815805512,7954.01777896053,296.9756020400254
74,10169078.4068012,3723181.218705831,292.0,177168.0,606.7397260273973,4146634.0623944458,299.3294296138956,0.0015168493150684932,0.0014797074934172747,,0.0921379153413342,8029.85116352779,291.9762770873085
75,10529016.139140032,3824517.29042901,295.0,176436.0,598.0881355932204,4110485.7549439818,302.4556101495078,0.001495220338983051,0.0014583627653061667,,0.09042259493791449,8064.150151339389,294.9758950786531
76,9448663.609847523,3401996.31935172,297.0,177572.0,597.8855218855219,4126034.478477253,304.5457675617929,0.0014947138047138049,0.0014576790987907123,,0.08999274713043892,8098.869882691196,296.9756037952614
77,8163617.892174981,2934798.185408962,294.0,176646.0,600.8367346938776,4131307.395113148,301.4705773497076,0.001502091836734694,0.001464869321186605,,0.09120495253702639,8030.645707490028,293.97577258747117
78,14814728.412511926,5472127.353640288,297.0,177075.0,596.2121212121212,4114133.790021427,304.43769143279644,0.0014905303030303032,0.00145411528354636,,0.08998659629213158,8079.621540666649,296.9760279802348
79,12182730.47919355,4471617.589217637,294.0,176701.0,601.0238095238095,4142261.4246031744,301.38022183301274,0.0015025595238095239,0.001465764731717412,,0.09078141770956588,8073.043849165182,293.97617388593864
80,8687573.340350937,3129236.762570468,294.0,176318.0,599.7210884353741,4123952.929011061,301.4640340594472,0.0014993027210884352,0.0014621810571044018,,0.09090529673776084,8042.331467892518,293.9758144552974
81,7843727.05639163,2812905.3064496936,294.0,178117.0,605.8401360544218,4175463.848593178,301.47333013997815,0.0015146003401360546,0.0014770543709231086,,0.0911940995949726,8098.409751745257,293.9757995990675
82,13357603.212637171,4913944.495738439,296.0,176511.0,596.3209459459459,4092919.0017234297,303.42923201602076,0.001490802364864865,0.001454301212404944,,0.09027948151664313,8054.439325378945,295.9760200444368
83,8739635.022519017,3162060.416196692,294.0,177763.0,604.6360544217687,4181530.115842936,301.4355722188756,0.0015115901360544218,0.0014743034364813152,,0.09161318561093908,8046.349587396489,293.97591162334345
84,9006385.101533383,3217940.2987230797,297.0,176633.0,594.7239057239058,4129177.088755116,304.58578133629925,0.0014868097643097645,0.0014497804134607321,,0.08916873858476862,8129.420896105269,296.97548396682606
85,7520142.018264376,2706068.407005918,294.0,178057.0,605.6360544217687,4133862.7008769503,301.4574402925848,0.0015140901360544217,0.0014766346439084705,,0.09222080062445462,8005.9738904332635,293.97578224106314
86,19594045.47736049,7400039.601020547,296.0,178194.0,602.0067567567568,4100621.493197589,303.30896048748014,0.001505016891891892,0.0014687498822455282,,0.09118568559070919,8053.620876625715,295.9764790147863
87,10216082.090315085,3714899.596210505,296.0,177131.0,598.4155405405405,4101268.0807044376,303.4750449396064,0.0014960388513513513,0.0014591891734891272,,0.09090848985381517,8025.593516268762,295.9758014217174
88,10097033.380674671,3684667.5516210105,292.0,176795.0,605.4623287671233,4160531.4335123855,299.34636062445,0.0015136558219178082,0.0014765086807068378,,0.09163819969364702,8056.18555167447,291.97623690727494
89,11644540.049234394,4254902.670639329,296.0,176473.0,596.1925675675676,4069688.790620435,303.45820137265616,0.001490481418918919,0.0014538493209422742,,0.09045061076042213,8036.702619914345,295.97588865342163
90,19380255.51741904,7283718.110364067,294.0,177061.0,602.2482993197278,4151704.873721598,301.2804738543844,0.0015056207482993197,0.0014692372669791534,,0.09044712180150871,8122.078611873782,293.9766103254596
91,12737749.69674659,4706100.600635936,295.0,177106.0,600.3593220338983,4112113.287836828,302.3774110554372,0.0015008983050847457,0.0014642793535884348,,0.09147869179144613,8003.390324638175,294.9761476070046
92,13595577.458294405,5049337.006970588,290.0,177758.0,612.9586206896552,4254648.191391201,297.2101109358694,0.0015323965517241378,0.0014952216753348927,,0.09175032035244694,8148.318554045331,289.97679361347224
93,21116944.835377708,7977745.029174061,297.0,177049.0,596.1245791245791,4070108.465961523,304.3434724840326,0.0014903114478114477,0.0014543518754890404,,0.09055155047021288,8030.51890297258,296.97636358507316
94,15407431.96671563,5730891.431992144,296.0,177494.0,599.6418918918919,4113040.425812637,303.37639078060084,0.0014991047297297298,0.0014626550169518802,,0.09081035919350006,8053.348923745764,295.976217672515
95,8787570.048193213,3179989.561629901,293.0,177019.0,604.160409556314,4163953.472562289,300.4102723769177,0.001510401023890785,0.0014731436994429607,,0.0915892742467997,8042.119077575476,292.9759919307074
96,13119769.910660814,4842462.521299223,296.0,177193.0,598.625,4087745.139780405,303.41023425556614,0.0014965625,0.0014600117266541195,,0.09102106966753094,8020.185502032918,295.9760571235949
97,8244487.721889785,2983635.7461981685,296.0,177788.0,600.6351351351351,4057676.393900656,303.4909132096327,0.0015015878378378377,0.0014645249022430785,,0.09225443017737606,7937.4231645421305,295.9756479636887
98,10176871.52947292,3699533.373035532,292.0,178006.0,609.6095890410959,4255536.032510791,299.35723803196663,0.0015240239726027397,0.0014865683653604508,,0.0908952861621007,8177.3677609053175,291.97627992263904
99,7695928.530099295,2762168.6614079867,295.0,176278.0,597.5525423728814,4072545.6370698074,302.50843454789083,0.0014938813559322035,0.0014568023554736042,,0.09153197321596217,7957.887852130093,294.97558857701864
100,9960932.573918888,3601618.706991402,295.0,176530.0,598.4067796610169,4136990.539615053,302.47534527243084,0.0014960169491525423,0.0014590445366795474,,0.0901879741272036,8088.908475877677,294.97583598599573
